Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - 4Degrees,Seed,Seed,"$1,000,000","Nov 3, 2021",4Degrees,4Degrees is an AI-enabled relationship management and intelligence software company.,"Enterprise Software, Social CRM, Software","Black / African American Founded, Black / African American Led","Chicago, Illinois, United States, North America",4degrees.ai,,"$2,450,000",Seed,7,—,2
Seed Round - Palos SurgiCenter,Seed,Seed,"$30,000","Nov 2, 2021",Palos SurgiCenter,Palos SurgiCenter offers pre and post surgical care services to prepare patients for their surgery and avoid delays or cancellations.,"Health Care, Hospital, Medical",—,"Palos Heights, Illinois, United States, North America",palossurgicenter.com/,,"$121,876",Seed,2,—,—
Seed Round - AKUA,Seed,Seed,"$3,200,000","Nov 5, 2021",AKUA,Akua specializes in creating plant-based cuisine from ocean-farmed kelp.,"Aquaculture, Food Processing, Organic, Organic Food","Women Founded, Women Led","New York, New York, United States, North America",akua.co,,"$5,270,000",Seed,5,Vibrant Ventures,13
Seed Round - Yogi,Seed,Seed,"$4,800,000","Oct 21, 2021",Yogi,Yogi is an AI powered customer feedback analytics service that processes online and offline feedback sources.,"Analytics, Artificial Intelligence, Customer Service, Machine Learning, Natural Language Processing, Predictive Analytics, Software, Text Analytics",—,"New York, New York, United States, North America",www.meetyogi.com/,,"$7,200,000",Seed,3,ScOp Venture Capital,1
Seed Round - North California Innovation District,Seed,Seed,"$285,329","Nov 1, 2021",North California Innovation District,Northern California Innovation District is a foundational platform for the present and future growth of the region.,—,—,"Folsom, California, United States, North America",norcalinnovationdistrict.com/,,"$285,329",Seed,1,—,1
Seed Round - Phrase Health,Seed,Seed,"$3,000,000","Oct 28, 2021",Phrase Health,Phrase Health is empowering teams with EHR data and collaborative tools that drive improved clinical outcomes.,"Analytics, Health Care, Hospital",—,"Philadelphia, Pennsylvania, United States, North America",www.phrasehealth.com/,,"$4,700,000",Seed,3,LionBird,3
Pre Seed Round - Parkva,Pre-Seed,Seed,"$200,000","Nov 5, 2021",Parkva,Parkva solutions detect parking occupancy and violations 24/7 without human intervention.,"Artificial Intelligence, Computer Vision, Information Technology, Internet of Things, Machine Learning, Parking",—,"New Bern, North Carolina, United States, North America",www.parkva.com,,"$200,000",Seed,1,—,—
Seed Round - Stocksnips,Seed,Seed,"$725,000","Nov 8, 2021",Stocksnips,StockSnips's AI based platform quantifies investor sentiment that generates alpha,"Analytics, Artificial Intelligence, Finance, Financial Services, FinTech, Machine Learning",—,"Pittsburgh, Pennsylvania, United States, North America",stocksnips.net/,,"$2,150,000",Seed,5,Walter Winshall,2
Seed Round - WORDEGO,Seed,Seed,"$450,000","Nov 1, 2021",WORDEGO,AI-Based Ad Analytics Platform,"Advertising, Analytics, Artificial Intelligence, E-Commerce, Information Technology, Software",—,"Chicago, Illinois, United States, North America",www.wordego.com,,"$1,050,000",Seed,3,—,2
Seed Round - Vivo,Seed,Seed,"$1,100,000","Oct 27, 2021",Vivo,Vivo offers an online and interactive fitness program designed specifically for seniors.,"Elderly, Fitness, Health Care, Wellness",—,"Atlanta, Georgia, United States, North America",teamvivo.com,,"$1,100,000",Seed,2,—,—
Seed Round - Audit Sight,Seed,Seed,"$2,500,000","Oct 22, 2021",Audit Sight,"Audit Sight uses APIs to access the client’s records, eliminating the tedious process of asking for them and waiting for a recordkeeper.","Accounting, FinTech, SaaS",—,"Atlanta, Georgia, United States, North America",www.auditsight.com/,,"$6,500,000",Seed,2,Hyde Park Venture Partners,6
Seed Round - Valted Seq,Seed,Seed,"$10,000,000","Nov 2, 2021",Valted Seq,Valted Seq is a discovery stage biopharmaceutical company that utilizes big data to develop lifesaving therapeutics.,"Biopharma, Biotechnology, Pharmaceutical, Therapeutics",Women Led,"Gaithersburg, Maryland, United States, North America",www.valtedseq.com/,,"$12,500,000",Seed,2,DongKoo Bio&Pharma,2
Seed Round - WeLoveNoCode,Seed,Seed,"$1,000,000","Oct 27, 2021",WeLoveNoCode,"WeLoveNoCode is a San Francisco, CA-based provider of a no-code marketplace.","Internet, Marketplace, Mobile Apps, Recruiting, Software, Software Engineering, Staffing Agency, Web Development",—,"San Francisco, California, United States, North America",welovenocode.com,,"$2,900,000",Seed,4,—,5
Seed Round - Anomaly,Seed,Seed,"$5,000,000","Oct 26, 2021",Anomaly,Precision Payments brought to healthcare,"FinTech, Health Care, Payments",—,"New York, New York, United States, North America",www.findanomaly.com/,,"$17,000,000",Early Stage Venture,2,—,1
Seed Round - Avants,Seed,Seed,"$250,000","Oct 18, 2021",Avants,Avants is a membership program for car enthusiasts.,"Automotive, Recreational Vehicles, Subscription Service",—,"Seattle, Washington, United States, North America",www.avants.com/,,"$250,000",Seed,1,—,—
Pre Seed Round - BetterMeal AI,Pre-Seed,Seed,"$100,000","Nov 11, 2021",BetterMeal AI,Personalized Nutrition to treat Complex Health Issues,Health Care,—,"San Jose, California, United States, North America",www.bettermeal.ai,,"$100,000",—,2,EXPERT DOJO,1
Seed Round - Verivend,Seed,Seed,"$2,700,000","Oct 19, 2021",Verivend,The Platform Powering How Capital Moves,"B2B, Financial Services, FinTech",—,"Buffalo, New York, United States, North America",www.verivend.com,,"$4,050,000",Seed,5,—,5
Seed Round - Ex Populus,Seed,Seed,"$3,000,000","Oct 28, 2021",Ex Populus,Ex Populus is a Web3 video game publishing company,"Blockchain, Cryptocurrency, Gaming, Media and Entertainment",—,"San Francisco, California, United States, North America",expopulus.com/,,"$8,500,000",—,2,Animoca Brands,10
Seed Round - Evergrow,Seed,Seed,"$7,000,000","Nov 10, 2021",Evergrow,Evergrow is a climate fintech company that aims to be the first dedicated carbon offtake company.,"Finance, Financial Services, FinTech",—,"San Francisco, California, United States, North America",evergrow.com/,,"$14,000,000",Seed,2,"Congruent Ventures, XYZ Venture Capital",14
Seed Round - Needed,Seed,Seed,"$5,800,000","Oct 27, 2021",Needed,"Needed is a pregnancy nutrition and education company that supports optimal nourishment before, during, and after pregnancy.","Fitness, Health Care, Nutrition, Wellness","Women Founded, Women Led","Los Angeles, California, United States, North America",thisisneeded.com,,"$8,040,211",Seed,3,"Seae Ventures, Sekhmet Ventures",4
