Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Pre Seed Round - Real Grader,Pre-Seed,Seed,"$25,000","Apr 1, 2020",Real Grader,"RealGrader developed a new technology to measure, manage and maximize your online reputation and delivers unified branding and marketing.","Advertising, Brand Marketing, Digital Marketing, Social Media Marketing",—,"Fairfield, Connecticut, United States, North America",www.realgrader.com/,,"$1,422,000",—,7,—,—
Seed Round - ZEVX,Seed,Seed,"$250,000","Mar 20, 2020",ZEVX,ZEVX supports customers in the electrification of light and medium duty fleet vehicles.,"Automotive, Consulting, Electric Vehicle, Professional Services",Women Led,"Gilbert, Arizona, United States, North America",www.zevx.com,,"$44,186,458",—,4,Charles Maury,1
Seed Round - Kenect,Seed,Seed,"$995,004","Mar 26, 2020",Kenect,Kenect is a messaging platform that connects businesses with consumers.,"Information Technology, Messaging, Software",—,"Pleasant Grove, Utah, United States, North America",www.kenect.com,,"$1,305,004",—,4,—,—
Seed Round - Pave,Seed,Seed,"$950,000","Mar 31, 2020",Pave,"Pave is a real-time compensation platform that helps organizations plan, communicate, and benchmark employees' compensation.","Employee Benefits, Information Technology, Real Time, SaaS, Software",—,"San Francisco, California, United States, North America",www.pave.com,,"$162,950,000",Late Stage Venture,4,—,6
Pre Seed Round - Nucleic Sensing Systems,Pre-Seed,Seed,"$150,000","Apr 27, 2020",Nucleic Sensing Systems,"Continuous, autonomous, monitoring of eDNA, RNA, and biomolecules to inform management of aquaculture & the environment","Natural Resources, Sensor, Water",—,"Saint Paul, Minnesota, United States, North America",ns2co.com,,"$825,000",Seed,3,Small Business Innovation Research,1
Seed Round - NeuralGalaxy,Seed,Seed,"$18,000,000","Apr 1, 2020",NeuralGalaxy,NeuralGalaxy is a brain science company which is devoted to solve brain disorders.,Health Care,—,"Boston, Massachusetts, United States, North America",www.neuralgalaxy.com/,,"$101,155,479",Early Stage Venture,3,Lightspeed China Partners,2
Seed Round - Around,Seed,Seed,"$5,200,000","Mar 18, 2020",Around,Radically unique video calls for modern teams.,"Artificial Intelligence, Video Conferencing",—,"Redwood City, California, United States, North America",www.around.co,,"$15,200,000",Early Stage Venture,3,"Floodgate, Initialized Capital",11
Pre Seed Round - Spike Neuro,Pre-Seed,Seed,"$2,000,000","Apr 4, 2020",Spike Neuro,Neuro Technology Innovation,"Big Data, Biotechnology, Consulting, Life Science, Neuroscience",—,"Ann Arbor, Michigan, United States, North America",www.spikeneuro.com/,,"$2,000,000",Seed,1,Aiden Ross,2
Seed Round - GTRsuite,Seed,Seed,"€500,000","Apr 8, 2020",GTRsuite,"GTRsuite renders marketing matrics, information technology, SEO, branding and lead generation services.","Customer Service, Furniture, Internet, Retail Technology, Sporting Goods",—,"Atlanta, Georgia, United States, North America",www.gtrsuite.com/,,"€1,000,000",M&A,2,—,—
Seed Round - Primer,Seed,Seed,"$3,700,000","May 11, 2020",Primer,"Freeing up the next generation of kids to be more ambitious, more creative, and to think for themselves.","Education, Internet",—,"San Francisco, California, United States, North America",www.primer.com/,,"$18,700,000",Early Stage Venture,2,Founders Fund,6
Seed Round - Automizy,Seed,Seed,"€81,000","Apr 1, 2020",Automizy,Small business marketing automation platform.,"Advertising, Lead Generation, Marketing, Marketing Automation",—,"New York, New York, United States, North America",www.automizy.com/,,"$1,388,000",Seed,5,—,1
Pre Seed Round - StockLyft,Pre-Seed,Seed,"$55,500","Apr 1, 2020",StockLyft,"StockLyft is a marketplace lending for funding agribusiness, transportation, and real estate projects in developing countries.","Crowdfunding, FinTech, Marketplace",Black / African American Led,"New Rochelle, New York, United States, North America",stocklyft.com/,,"$55,500",Seed,1,—,—
Seed Round - TackleAI,Seed,Seed,"$1,614,932","Mar 27, 2020",TackleAI,TackleAI is a collection of proprietary neural networks that automatically discover data on any type of document or image.,"Artificial Intelligence, Ediscovery, Finance, Insurance, Legal, Machine Learning, Publishing, Software","Hispanic / Latine Founded, Hispanic / Latine Led, Women Led","Schaumburg, Illinois, United States, North America",www.tackleai.com,,"$10,184,932",—,5,Joe Van Hecke,1
